RollingAvgWindow,PositiveDiffMAThreshold,NegativeDiffMAThreshold,FixedOrderQuantity,PnL
1,30.60000,-26.40000,100,1742926.07411
1,32.40000,-31.00000,100,1742897.99635
1,31.60000,-30.60000,100,1742893.00870
1,34.60000,-29.60000,100,1742891.24553
1,35.80000,-30.40000,100,1742835.99493
1,34.40000,-27.20000,100,1742831.53779
1,30.80000,-31.00000,100,1742827.66951
1,34.00000,-29.40000,100,1742820.36217
1,34.40000,-29.20000,100,1742803.45889
1,32.40000,-29.20000,100,1742753.20640
1,36.00000,-30.40000,100,1742725.34216
1,30.20000,-26.40000,100,1742696.63125
1,33.60000,-30.00000,100,1742696.05421
1,34.00000,-26.60000,100,1742629.03719
1,31.40000,-30.60000,100,1742626.25610
1,34.80000,-30.60000,100,1742604.36839
1,32.20000,-26.40000,100,1742593.55162
1,34.20000,-26.60000,100,1742548.71702
1,32.60000,-29.40000,100,1742498.59659
1,32.60000,-31.20000,100,1742413.76847
1,35.60000,-30.20000,100,1742372.23233
1,31.20000,-31.20000,100,1742354.41798
1,35.20000,-30.40000,100,1742346.13922
1,30.60000,-29.60000,100,1742342.96127
1,30.00000,-29.80000,100,1742339.76514
1,34.80000,-30.00000,100,1742312.56253
1,31.00000,-31.00000,100,1742296.45463
1,32.40000,-26.40000,100,1742295.72036
1,29.40000,-30.00000,100,1742271.93100
1,31.20000,-29.40000,100,1742253.56259
1,34.40000,-27.40000,100,1742179.63625
1,32.00000,-29.00000,100,1742163.88455
1,30.40000,-26.40000,100,1742162.11994
1,32.60000,-26.60000,100,1742133.44632
1,31.80000,-29.00000,100,1742073.90404
1,34.40000,-26.80000,100,1742072.75986
1,33.80000,-29.40000,100,1742040.69051
1,30.20000,-29.60000,100,1742020.73125
1,30.80000,-29.40000,100,1741991.15408
1,31.20000,-26.60000,100,1741981.41049
1,34.00000,-29.20000,100,1741935.73419
1,30.00000,-30.60000,100,1741900.94177
1,33.20000,-30.00000,100,1741887.20203
1,35.80000,-30.20000,100,1741799.89984
1,32.60000,-31.00000,100,1741758.75856
1,29.60000,-29.80000,100,1741743.77919
1,29.80000,-26.60000,100,1741743.12467
1,30.80000,-26.60000,100,1741719.00198
1,33.00000,-30.00000,100,1741710.04843
1,29.80000,-29.80000,100,1741709.82083
1,34.60000,-31.40000,100,1741705.83226
1,32.80000,-30.80000,100,1741702.30831
1,31.20000,-31.00000,100,1741699.40807
1,36.00000,-30.20000,100,1741689.24707
1,32.00000,-27.20000,100,1741674.80797
1,29.60000,-26.60000,100,1741671.83493
1,33.80000,-26.60000,100,1741654.56536
1,34.00000,-26.40000,100,1741652.07344
1,34.20000,-29.40000,100,1741650.81869
1,32.80000,-29.80000,100,1741627.16237
1,32.60000,-29.20000,100,1741613.96862
1,32.20000,-29.00000,100,1741604.48911
1,31.80000,-27.20000,100,1741584.82746
1,30.40000,-29.60000,100,1741579.00710
1,34.20000,-26.40000,100,1741571.75328
1,32.00000,-26.80000,100,1741505.08959
1,33.40000,-30.80000,100,1741502.52352
1,31.00000,-29.40000,100,1741459.93920
1,29.20000,-26.40000,100,1741449.98196
1,31.80000,-26.80000,100,1741415.10908
1,31.60000,-29.40000,100,1741381.33803
1,31.20000,-29.20000,100,1741368.93461
1,35.20000,-30.20000,100,1741310.04413
1,29.60000,-30.60000,100,1741304.95582
1,34.40000,-25.40000,100,1741292.74840
1,29.80000,-30.60000,100,1741270.99746
1,32.80000,-29.60000,100,1741215.79003
1,30.00000,-26.40000,100,1741213.62284
1,32.00000,-28.00000,100,1741212.95766
1,31.00000,-26.60000,100,1741187.78709
1,29.60000,-29.60000,100,1741157.76690
1,32.60000,-26.40000,100,1741156.48257
1,33.80000,-29.20000,100,1741156.06253
1,34.40000,-31.40000,100,1741143.82676
1,29.80000,-29.60000,100,1741123.80854
1,31.80000,-28.00000,100,1741122.97715
1,32.20000,-27.20000,100,1741115.41253
1,31.40000,-29.40000,100,1741114.58543
1,30.80000,-29.20000,100,1741106.52610
1,30.60000,-30.80000,100,1741102.32904
1,34.40000,-29.00000,100,1741100.87742
1,31.60000,-31.20000,100,1741052.07400
1,32.00000,-27.40000,100,1741022.90643
1,31.20000,-26.40000,100,1741004.44674
1,32.80000,-30.60000,100,1741002.65550
1,32.40000,-29.00000,100,1740951.86473
1,32.20000,-26.80000,100,1740945.69415
1,29.00000,-26.40000,100,1740939.41765
1,31.80000,-27.40000,100,1740932.92592
1,34.60000,-29.40000,100,1740922.00441
1,28.80000,-30.40000,100,1740889.50772
1,34.00000,-27.20000,100,1740874.58978
1,29.80000,-26.00000,100,1740835.96782
1,33.40000,-30.60000,100,1740802.87071
1,34.20000,-27.20000,100,1740794.26961
1,31.40000,-31.20000,100,1740785.32140
1,30.20000,-30.80000,100,1740780.09902
1,34.20000,-29.20000,100,1740766.19071
1,29.60000,-26.00000,100,1740764.67809
1,33.60000,-31.20000,100,1740744.23874
1,30.80000,-26.40000,100,1740742.03823
1,33.80000,-26.40000,100,1740677.60162
1,31.60000,-26.60000,100,1740661.39463
1,32.20000,-28.00000,100,1740653.56222
1,32.40000,-26.80000,100,1740647.86290
1,28.80000,-30.20000,100,1740633.11720
1,31.00000,-29.20000,100,1740575.31122
1,30.00000,-29.60000,100,1740537.72284
1,33.40000,-30.00000,100,1740511.06485
1,34.80000,-31.20000,100,1740501.26762
1,33.60000,-29.80000,100,1740497.53394
1,31.60000,-29.20000,100,1740496.71005
1,29.20000,-30.00000,100,1740493.25379
1,32.20000,-27.40000,100,1740463.51099
1,32.40000,-27.20000,100,1740462.78815
1,34.40000,-26.00000,100,1740450.97620
1,31.60000,-31.00000,100,1740397.06409
1,30.60000,-29.40000,100,1740373.72016
1,30.40000,-30.80000,100,1740338.37487
1,34.00000,-29.00000,100,1740233.15271
1,31.40000,-29.20000,100,1740229.95745
1,34.00000,-27.40000,100,1740222.68824
1,31.00000,-26.40000,100,1740210.82335
1,34.40000,-28.00000,100,1740149.95052
1,34.20000,-27.40000,100,1740142.36807
1,34.40000,-25.20000,100,1740139.71016
1,34.00000,-31.40000,100,1740135.58149
1,31.40000,-31.00000,100,1740130.31149
1,34.00000,-26.80000,100,1740115.81185
1,34.80000,-29.80000,100,1740114.04226
1,33.60000,-31.00000,100,1740089.22883
1,29.00000,-30.00000,100,1740074.51277
1,29.40000,-29.80000,100,1740073.41074
1,30.20000,-29.40000,100,1740051.49014
1,34.60000,-29.20000,100,1740037.37643
1,34.20000,-26.80000,100,1740035.49168
1,29.40000,-26.60000,100,1740001.46648
1,32.40000,-28.00000,100,1740000.93784
1,33.60000,-29.60000,100,1739971.41459
1,34.40000,-25.60000,100,1739950.35261
1,33.80000,-27.20000,100,1739900.11795
1,32.00000,-26.00000,100,1739897.47392
1,29.60000,-29.40000,100,1739881.93847
1,29.80000,-29.40000,100,1739847.98011
1,34.80000,-31.00000,100,1739846.25771
1,29.80000,-25.40000,100,1739827.61864
1,32.60000,-29.00000,100,1739812.62694
1,32.40000,-27.40000,100,1739810.88661
1,31.80000,-26.00000,100,1739807.49341
1,31.20000,-27.20000,100,1739774.82702
1,29.80000,-26.20000,100,1739774.38741
1,33.20000,-30.80000,100,1739763.82771
1,29.60000,-25.40000,100,1739756.32890
1,34.60000,-27.20000,100,1739744.56441
1,29.60000,-26.20000,100,1739703.09767
1,30.60000,-26.60000,100,1739698.88142
1,33.20000,-29.80000,100,1739688.68177
1,31.60000,-26.40000,100,1739684.43089
1,29.40000,-30.60000,100,1739634.58737
1,30.40000,-29.40000,100,1739609.76599
1,34.80000,-29.60000,100,1739587.92291
1,33.00000,-30.80000,100,1739586.67410
1,32.00000,-25.40000,100,1739579.69611
1,32.40000,-25.40000,100,1739577.97184
1,31.20000,-29.00000,100,1739567.59294
1,30.80000,-27.20000,100,1739512.41850
1,33.00000,-29.80000,100,1739511.52816
1,32.60000,-26.80000,100,1739508.62511
1,31.80000,-25.40000,100,1739489.71560
1,30.60000,-29.20000,100,1739489.09218
1,29.40000,-29.60000,100,1739487.39845
1,30.20000,-26.60000,100,1739469.43856
1,33.80000,-29.00000,100,1739453.48106
1,32.00000,-31.40000,100,1739433.96703
1,32.80000,-26.60000,100,1739426.99495
1,33.80000,-31.40000,100,1739355.90983
1,32.20000,-26.00000,100,1739338.07848
1,34.00000,-25.40000,100,1739335.80039
1,32.60000,-27.20000,100,1739323.55036
1,31.20000,-28.00000,100,1739312.97671
1,30.80000,-29.00000,100,1739305.18443
1,30.00000,-30.80000,100,1739297.09061
1,34.40000,-26.20000,100,1739291.96791
1,31.40000,-26.60000,100,1739288.85205
1,34.00000,-28.00000,100,1739282.22582
1,33.20000,-29.60000,100,1739277.30942
1,34.20000,-25.40000,100,1739255.48022
1,33.80000,-27.40000,100,1739248.21641
1,32.80000,-29.40000,100,1739246.54892
1,31.80000,-31.40000,100,1739235.07601
1,30.20000,-29.20000,100,1739166.86216
1,32.00000,-27.00000,100,1739146.61993
1,33.80000,-26.80000,100,1739141.34002
1,28.60000,-30.40000,100,1739134.26281
1,31.20000,-27.40000,100,1739122.92548
1,34.20000,-31.40000,100,1739106.55858
1,33.00000,-29.60000,100,1739100.15582
1,29.40000,-26.00000,100,1739094.30963
1,34.60000,-27.40000,100,1739092.66287
1,33.20000,-30.60000,100,1739064.17489
1,34.20000,-29.00000,100,1739063.60924
1,31.80000,-27.00000,100,1739056.63942
1,30.80000,-28.00000,100,1739050.56820
1,32.40000,-26.00000,100,1739040.24723
1,32.20000,-25.40000,100,1739020.30067
1,29.60000,-29.20000,100,1738997.31049
1,31.00000,-27.20000,100,1738981.20362
1,29.80000,-29.20000,100,1738963.35213
1,30.40000,-26.60000,100,1738934.92725
1,33.00000,-30.60000,100,1738887.02129
1,28.60000,-30.20000,100,1738877.87229
1,32.20000,-31.40000,100,1738874.57160
1,35.00000,-30.00000,100,1738869.88222
1,32.60000,-28.00000,100,1738861.70005
1,34.60000,-31.60000,100,1738861.14294
1,30.80000,-27.40000,100,1738860.51697
1,32.00000,-26.20000,100,1738835.89351
1,30.60000,-26.00000,100,1738791.72458
1,31.00000,-29.00000,100,1738773.96955
1,32.80000,-31.20000,100,1738759.03416
1,31.80000,-26.20000,100,1738745.91300
1,30.40000,-29.20000,100,1738725.13801
1,29.60000,-30.80000,100,1738701.10466
1,31.60000,-29.00000,100,1738695.36838
1,29.80000,-25.20000,100,1738674.58039
1,32.60000,-27.40000,100,1738671.64882
1,29.80000,-30.80000,100,1738667.14630
1,29.60000,-25.20000,100,1738603.29066
1,32.20000,-27.00000,100,1738587.22449
1,34.60000,-31.80000,100,1738576.55843
1,30.00000,-29.40000,100,1738568.48173
1,30.20000,-26.00000,100,1738562.28171
1,33.40000,-31.20000,100,1738559.24937
1,29.80000,-25.60000,100,1738540.49593
1,31.00000,-28.00000,100,1738519.35332
1,33.80000,-28.00000,100,1738502.55417
1,34.00000,-26.00000,100,1738494.02818
1,29.60000,-25.60000,100,1738469.20619
1,32.80000,-26.40000,100,1738450.03121
1,32.60000,-25.40000,100,1738438.73405
1,31.40000,-29.00000,100,1738428.61578
1,32.00000,-25.20000,100,1738426.65787
1,32.40000,-25.20000,100,1738424.93360
1,34.20000,-26.00000,100,1738413.70802
1,34.80000,-31.40000,100,1738402.50965
1,32.80000,-29.20000,100,1738361.92094
1,33.80000,-25.40000,100,1738361.32856
1,32.40000,-31.40000,100,1738357.47261
1,31.80000,-25.20000,100,1738336.67736
1,34.60000,-29.00000,100,1738334.79496
1,31.00000,-27.40000,100,1738329.30208
1,33.40000,-29.80000,100,1738312.54458
1,31.40000,-26.40000,100,1738311.88830
1,34.60000,-26.60000,100,1738306.66482
1,34.40000,-31.60000,100,1738299.13744
1,29.20000,-29.80000,100,1738294.73352
1,32.20000,-26.20000,100,1738276.49807
1,32.40000,-25.60000,100,1738235.57605
1,29.20000,-26.60000,100,1738222.78927
1,29.40000,-29.40000,100,1738211.57002
1,31.60000,-27.20000,100,1738206.29180
1,32.00000,-25.60000,100,1738189.55179
1,34.00000,-25.20000,100,1738182.76215
1,30.60000,-31.20000,100,1738159.05489
1,34.40000,-27.00000,100,1738143.55211
1,34.20000,-28.00000,100,1738112.68234
1,32.80000,-31.00000,100,1738104.02425
1,34.20000,-25.20000,100,1738102.44198
1,31.80000,-25.60000,100,1738099.57128
1,29.40000,-25.40000,100,1738085.96045
1,31.60000,-26.80000,100,1738036.57342
1,29.40000,-26.20000,100,1738032.72922
1,30.40000,-26.00000,100,1738027.77041
1,34.40000,-31.80000,100,1738014.55293
1,33.60000,-29.40000,100,1738002.17348
1,34.00000,-25.60000,100,1737993.40459
1,30.00000,-26.60000,100,1737986.43014
1,32.40000,-26.20000,100,1737978.66681
1,35.00000,-30.80000,100,1737956.33188
1,29.80000,-25.80000,100,1737947.58233
1,35.40000,-30.40000,100,1737942.88734
1,32.40000,-27.00000,100,1737934.60011
1,31.20000,-26.80000,100,1737926.01445
1,34.20000,-25.60000,100,1737913.08443
1,33.40000,-31.00000,100,1737904.23946
1,32.60000,-26.00000,100,1737901.00944
1,29.60000,-25.80000,100,1737876.29260
1,29.00000,-29.80000,100,1737875.99250
1,32.20000,-25.20000,100,1737867.26243
1,31.00000,-31.40000,100,1737844.51587
1,30.20000,-31.20000,100,1737836.82487
1,33.40000,-29.60000,100,1737786.42523
1,30.60000,-25.40000,100,1737783.37539
1,31.20000,-26.00000,100,1737748.97361
1,30.80000,-31.40000,100,1737748.17071
1,31.60000,-28.00000,100,1737744.44149
1,30.60000,-26.20000,100,1737730.14416
1,29.00000,-26.60000,100,1737712.22496
1,29.20000,-29.60000,100,1737708.72123
1,30.60000,-29.00000,100,1737687.75051
1,30.00000,-29.20000,100,1737683.85375
1,30.80000,-26.80000,100,1737663.60594
1,32.20000,-25.60000,100,1737630.15635
1,34.80000,-29.40000,100,1737618.68180
1,33.60000,-26.60000,100,1737616.04833
1,34.40000,-25.80000,100,1737562.59071
1,31.60000,-27.40000,100,1737554.39026
1,30.20000,-25.40000,100,1737553.93252
1,32.00000,-28.80000,100,1737545.22536
1,33.80000,-26.00000,100,1737519.55635
1,30.60000,-31.00000,100,1737504.04498
1,30.20000,-26.20000,100,1737500.70130
1,31.40000,-27.20000,100,1737492.99360
1,30.60000,-27.20000,100,1737492.29795
1,30.80000,-26.00000,100,1737486.56510
1,31.80000,-28.80000,100,1737455.24485
1,30.60000,-28.00000,100,1737433.13427
1,30.40000,-31.20000,100,1737395.10072
1,34.60000,-28.00000,100,1737383.86807
1,30.20000,-29.00000,100,1737365.52049
1,34.00000,-26.20000,100,1737335.01989
1,34.60000,-26.40000,100,1737329.70107
1,29.40000,-29.20000,100,1737326.94204
1,29.20000,-26.00000,100,1737315.63242
1,33.20000,-29.40000,100,1737308.06831
1,34.00000,-31.60000,100,1737290.89217
1,29.00000,-29.60000,100,1737289.98021
1,32.60000,-25.20000,100,1737285.69581
1,35.00000,-30.60000,100,1737256.67907
1,34.20000,-26.20000,100,1737254.69973
1,31.20000,-27.00000,100,1737246.63898
1,32.60000,-31.40000,100,1737218.23482
1,35.60000,-30.00000,100,1737215.70973
1,33.80000,-25.20000,100,1737208.29032
1,29.60000,-29.00000,100,1737195.96882
1,30.20000,-31.00000,100,1737181.81496
1,30.20000,-27.20000,100,1737170.06793
1,29.80000,-29.00000,100,1737162.01046
1,31.20000,-31.40000,100,1737158.88433
1,31.00000,-26.80000,100,1737132.39106
1,33.00000,-29.40000,100,1737130.91470
1,33.60000,-29.20000,100,1737117.54550
1,30.20000,-28.00000,100,1737110.90425
1,32.60000,-25.60000,100,1737096.33826
1,30.00000,-26.00000,100,1737079.27330
1,31.40000,-28.00000,100,1737031.14329
1,29.40000,-30.80000,100,1737030.73621
1,30.40000,-25.40000,100,1737019.42122
1,33.80000,-25.60000,100,1737018.93277
1,32.00000,-25.80000,100,1737009.08843
1,34.00000,-31.80000,100,1737006.30766
1,32.20000,-28.80000,100,1736985.82992
1,30.80000,-27.00000,100,1736984.23046
1,30.40000,-26.20000,100,1736966.18999
1,31.00000,-26.00000,100,1736955.35021
1,29.40000,-25.20000,100,1736932.92221
1,30.40000,-29.00000,100,1736923.79634
1,31.80000,-25.80000,100,1736919.10792
1,35.40000,-30.20000,100,1736906.79225
1,29.20000,-30.60000,100,1736886.88542
1,35.60000,-31.20000,100,1736882.50674
1,29.00000,-30.60000,100,1736863.56388
1,28.20000,-30.40000,100,1736863.25628
1,31.20000,-25.40000,100,1736843.64603
1,31.40000,-27.40000,100,1736841.09206
1,30.60000,-27.40000,100,1736840.39641
1,32.60000,-26.20000,100,1736839.42902
1,33.20000,-31.20000,100,1736820.55356
1,29.00000,-26.00000,100,1736805.06812
1,32.80000,-26.80000,100,1736802.17374
1,29.40000,-25.60000,100,1736798.83774
1,32.60000,-27.00000,100,1736795.36232
1,29.60000,-27.20000,100,1736742.12781
1,30.40000,-31.00000,100,1736740.09081
1,34.80000,-29.20000,100,1736734.05382
1,30.40000,-27.20000,100,1736728.34378
1,29.80000,-27.20000,100,1736708.16945
1,31.20000,-26.20000,100,1736687.39319
1,35.00000,-29.80000,100,1736671.36196
1,30.40000,-28.00000,100,1736669.18010
1,33.00000,-31.20000,100,1736643.39995
1,35.80000,-30.00000,100,1736643.37724
1,33.60000,-26.40000,100,1736639.08458
1,30.60000,-25.20000,100,1736630.33715
1,35.80000,-31.20000,100,1736627.98976
1,32.80000,-27.20000,100,1736617.09899
1,28.20000,-30.20000,100,1736606.86576
1,32.80000,-29.00000,100,1736560.57926
1,36.00000,-30.00000,100,1736532.72447
1,30.20000,-27.40000,100,1736518.16639
1,36.00000,-31.20000,100,1736517.33699
1,33.80000,-31.60000,100,1736511.22052
1,30.60000,-25.60000,100,1736496.25268
1,34.40000,-28.80000,100,1736482.21822
1,30.80000,-25.40000,100,1736478.21591
1,31.00000,-27.00000,100,1736453.01558
1,32.20000,-25.80000,100,1736449.69299
1,29.20000,-29.40000,100,1736432.89280
1,31.60000,-26.00000,100,1736428.95775
1,33.20000,-26.60000,100,1736426.22768
1,30.80000,-26.20000,100,1736424.98468
1,33.20000,-29.20000,100,1736423.44033
1,32.00000,-27.60000,100,1736403.76810
1,30.20000,-25.20000,100,1736400.89428
1,29.60000,-28.00000,100,1736393.83345
1,33.80000,-26.20000,100,1736360.54807
1,29.80000,-28.00000,100,1736359.87509
1,30.00000,-31.20000,100,1736353.81646
1,32.40000,-28.80000,100,1736333.20554
1,31.80000,-27.60000,100,1736313.78759
1,29.20000,-25.40000,100,1736307.28324
1,35.60000,-30.80000,100,1736302.15938
1,30.20000,-25.60000,100,1736266.80982
1,34.20000,-31.60000,100,1736261.86926
1,29.20000,-26.20000,100,1736254.05201
1,33.00000,-29.20000,100,1736246.28673
1,32.00000,-28.20000,100,1736243.65748
1,33.80000,-31.80000,100,1736226.63601
1,29.40000,-25.80000,100,1736205.92414
1,34.00000,-27.00000,100,1736186.60410
1,28.40000,-30.40000,100,1736172.17988
1,33.20000,-31.00000,100,1736165.54365
1,31.80000,-28.20000,100,1736153.67698
1,35.20000,-30.00000,100,1736153.52153
1,32.40000,-25.80000,100,1736151.86174
1,35.00000,-29.60000,100,1736145.24260
1,31.60000,-25.40000,100,1736111.17994
1,34.20000,-27.00000,100,1736106.28393
1,31.20000,-28.80000,100,1736091.79001
1,29.60000,-27.40000,100,1736090.22627
